trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,19,0.2782269678413618,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,8,14.86836148274533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,9,19.201880864872418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,4,11.46192148140397,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,7,-9.39749843868378,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,12,-10.127096815440497,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,2,-9.924334300140918,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.18451952399298926}",25,2,-102.53206635913703,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 2}",1
169,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,3,-8.1440715914076,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,2,14.280038614356375,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,0,-31.509633745012188,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,20,8.322780874648311,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,13,0.040012337255487695,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17377394345044514}",30,0,44.323936025423556,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
